1:8,3,4,6,5,9,5,1,1,1,3,7,5,2,8,5,5,9,2,3,7,5,5,7,3,3,7,2,1,7
2:9,5,6,6,9,3,1,1,5,4,6,8,1,2,6,8,2,8,2,1,8,1,5,5,2,7,3,9,1,3
3:5,1,3,5,4,6,2,8,5,4,4,4,4,5,3,1,4,2,3,3,7,5,8,9,5,4,5,3,9,2
4:5,7,1,2,7,4,8,4,6,5,7,2,6,9,2,8,1,7,1,7,9,5,5,4,8,8,1,2,9,3
5:7,9,3,3,9,8,5,9,8,1,2,7,1,9,4,5,3,6,1,7,5,9,3,4,8,6,8,9,4,7
6:5,1,3,5,4,6,2,8,5,4,4,4,4,5,3,1,4,2,3,3,7,5,8,9,5,4,5,3,9,1
7:3,9,1,1,7,2,5,8,2,4,3,8,3,1,9,4,3,6,5,5,7,8,6,4,1,8,4,3,6,2
8:4,7,2,9,7,5,6,6,1,4,9,3,8,4,5,8,4,5,2,3,6,7,9,9,2,9,2,3,6,1
9:7,8,7,1,8,9,5,5,7,4,8,9,5,2,9,6,1,4,2,1,3,6,9,8,9,6,1,7,5,7
10:9,4,8,8,1,3,6,4,2,2,9,3,3,5,2,7,6,7,9,7,1,7,8,1,5,2,8,6,8,3
11:5,8,4,8,6,3,4,1,3,3,4,2,2,2,7,9,3,9,7,5,5,4,4,6,9,2,5,3,7,1
12:3,9,1,1,7,2,5,8,2,4,3,8,3,1,9,4,3,6,5,5,7,8,6,4,1,8,4,3,6,4
13:5,8,7,5,5,5,7,3,2,9,7,7,8,2,8,6,7,3,5,2,3,4,7,5,5,3,8,4,7,6
14:3,1,6,7,5,8,2,8,8,5,9,9,6,4,6,8,4,9,2,9,9,5,6,8,1,6,4,1,6,5
15:4,5,4,4,4,2,6,4,2,6,7,2,2,6,1,1,8,2,9,9,6,3,7,7,3,8,4,6,4,5
16:6,1,7,4,8,1,4,2,9,1,2,2,2,6,5,2,2,4,5,1,9,3,9,1,3,1,9,1,4,7
17:7,8,7,1,8,9,5,5,7,4,8,9,5,2,9,6,1,4,2,1,3,6,9,8,9,6,1,7,5,7
