A=3980 B=4234 C=8564 X=882054624 Y=8738233887 Z=74468850444 M=141
A=8818 B=8149 C=5802 X=978551945 Y=8265175640 Z=68650504669 M=117
A=8237 B=5257 C=5386 X=904302278 Y=2387148250 Z=84375098383 M=111
A=9402 B=9400 C=5093 X=126213609 Y=6545087991 Z=20775467102 M=62
A=2870 B=5092 C=9528 X=744397102 Y=2074911717 Z=93246862184 M=60
A=2464 B=7493 C=5828 X=457872363 Y=1871340860 Z=27326632150 M=199
A=2696 B=3354 C=6906 X=832286987 Y=9282675604 Z=55176524857 M=79
A=3090 B=7766 C=7187 X=761277594 Y=8489767907 Z=95794805500 M=199
A=4132 B=9077 C=9359 X=206003274 Y=2745139793 Z=25393630936 M=133
A=5475 B=6994 C=7846 X=310172959 Y=9564258134 Z=90168974286 M=148
A=5381 B=4456 C=9632 X=816776007 Y=3523519883 Z=30399541184 M=167
A=5030 B=5230 C=7058 X=200319282 Y=9109236345 Z=56667575982 M=142
A=6451 B=6945 C=8585 X=661672512 Y=1880587819 Z=82700953109 M=127
A=5799 B=3672 C=5168 X=156027493 Y=5714815466 Z=97360724031 M=91
A=4034 B=6762 C=7606 X=110972759 Y=7834861241 Z=42995350057 M=84
A=7056 B=5077 C=7827 X=481725282 Y=5378045831 Z=24002495574 M=183
A=3582 B=5365 C=6342 X=776199949 Y=9462098754 Z=55563228689 M=166
A=3505 B=9507 C=9292 X=183207530 Y=1465300390 Z=91387059596 M=163
A=2741 B=4364 C=5028 X=208337334 Y=1853668959 Z=84177183692 M=105
A=7306 B=4433 C=9316 X=760474011 Y=4934587505 Z=98597787332 M=170
A=8392 B=8038 C=9142 X=596548733 Y=2810296590 Z=88496920977 M=97
A=5958 B=8285 C=6551 X=239249930 Y=1036327685 Z=72983025330 M=107
A=9843 B=4901 C=6841 X=814522873 Y=6898437984 Z=37187852795 M=193
A=3648 B=4447 C=7572 X=350301921 Y=9838083341 Z=33435244019 M=87
A=8637 B=7001 C=9474 X=313096031 Y=3919147076 Z=52343731858 M=199
A=2534 B=4629 C=9906 X=244625308 Y=3283377300 Z=31121464063 M=80
A=8188 B=8926 C=5986 X=995197362 Y=7768367012 Z=97398101244 M=93
A=9187 B=7305 C=5766 X=982230633 Y=2130220859 Z=60235819218 M=175
A=2590 B=6102 C=8502 X=340650083 Y=8971769269 Z=17793396802 M=198
A=7550 B=6186 C=6518 X=616743340 Y=6500351901 Z=72009487278 M=63
A=5936 B=4393 C=6733 X=605200037 Y=4390403556 Z=50385294775 M=119
A=6844 B=8621 C=8169 X=258988619 Y=2583340980 Z=47267842218 M=112
A=6631 B=5195 C=8746 X=119772963 Y=9127750162 Z=96862992722 M=117
A=2655 B=9893 C=5967 X=356804836 Y=1739171492 Z=75440235584 M=53
A=3725 B=6106 C=5503 X=245037428 Y=5606591764 Z=20555906254 M=129
A=3200 B=4620 C=6615 X=523088968 Y=9878365736 Z=76947011659 M=180
A=2959 B=4203 C=5416 X=635300924 Y=7495012126 Z=36654880081 M=90
A=5035 B=9057 C=5891 X=370116499 Y=3540355587 Z=73948514111 M=173
A=7806 B=8185 C=9544 X=758401067 Y=7647990681 Z=62115217093 M=160
A=5000 B=8531 C=5160 X=757593014 Y=7783562993 Z=33268867865 M=50
A=3659 B=6480 C=8376 X=148355338 Y=7406494471 Z=91590332899 M=171
A=4155 B=7494 C=6057 X=640718254 Y=7861454294 Z=58633407742 M=60
A=7983 B=4282 C=5120 X=487848044 Y=6273035164 Z=57318395086 M=165
A=2304 B=6485 C=8292 X=810243382 Y=3534741628 Z=12988823572 M=130
A=7632 B=7303 C=7307 X=149462260 Y=9100193804 Z=68669991475 M=189
A=9807 B=4745 C=9248 X=582446014 Y=4037238539 Z=49446731015 M=172
