A=7603 B=7038 C=5398 X=321795239 Y=6246062782 Z=19436890591 M=9086
A=6095 B=4177 C=7232 X=441380148 Y=8172008011 Z=62721701189 M=5854
A=7398 B=4187 C=9275 X=888161903 Y=6996386901 Z=39706966415 M=6506
A=2864 B=3785 C=6093 X=716504960 Y=8620153202 Z=89726303829 M=5252
A=3890 B=7949 C=7068 X=677586836 Y=6703413472 Z=16079114158 M=8244
A=8907 B=6568 C=9987 X=532768057 Y=9301197109 Z=31278795016 M=7142
A=9477 B=8965 C=9908 X=499707184 Y=1272205370 Z=82646633173 M=1001
A=5175 B=4636 C=9529 X=241274196 Y=4036529724 Z=32524842653 M=8999
A=7634 B=8589 C=6456 X=165258736 Y=3218482211 Z=82179100139 M=1917
A=6208 B=6500 C=5665 X=284907401 Y=3824975543 Z=41707429403 M=7875
A=4084 B=4496 C=5354 X=118121842 Y=6599156205 Z=83778295627 M=7717
A=8490 B=4702 C=5338 X=780045666 Y=8121966554 Z=57950898646 M=2719
A=8561 B=4837 C=6695 X=813220676 Y=9591285833 Z=26107803407 M=9801
A=9335 B=7231 C=6953 X=445549413 Y=1766033821 Z=40381188208 M=7976
A=2639 B=9632 C=5206 X=571512105 Y=3115223251 Z=58830115632 M=6839
A=7765 B=4917 C=6987 X=456344938 Y=1512251127 Z=76460987922 M=8275
A=7394 B=4075 C=8020 X=254161699 Y=1901570718 Z=23626674526 M=9351
A=8176 B=9981 C=7234 X=178517569 Y=2565005259 Z=32091178020 M=7507
A=4427 B=4036 C=6852 X=717120530 Y=8549180859 Z=82060453928 M=4968
A=8727 B=5418 C=7340 X=323900490 Y=4286811024 Z=14523935268 M=3209
A=9415 B=3189 C=8087 X=618535784 Y=9342318455 Z=80474057762 M=8503
A=6094 B=9363 C=8268 X=266528357 Y=9334801441 Z=50759458549 M=2632
A=3290 B=7189 C=9924 X=237284930 Y=4274032767 Z=60382854949 M=2654
A=2848 B=4987 C=5564 X=183044764 Y=3930266344 Z=62732631916 M=3683
A=9780 B=4042 C=9481 X=890768095 Y=8676923967 Z=83203686316 M=2596
A=9061 B=6086 C=5526 X=126988407 Y=2294920518 Z=22705441178 M=9838
A=6934 B=8205 C=5874 X=953759225 Y=7436638083 Z=17475188671 M=4791
A=3961 B=8581 C=6454 X=767071905 Y=1229299233 Z=67854053797 M=3300
A=4127 B=7652 C=7088 X=958422476 Y=4777102337 Z=48248980982 M=7138
A=9787 B=5338 C=6744 X=231587367 Y=4310885015 Z=26918266945 M=5813
A=6628 B=3779 C=8221 X=595073479 Y=2423707270 Z=56039659079 M=1863
A=5298 B=8011 C=7329 X=966427868 Y=2909476046 Z=69712481727 M=7906
A=3433 B=8429 C=5623 X=206955577 Y=3029719110 Z=45284640892 M=9589
A=8314 B=9218 C=6124 X=534740542 Y=4554789199 Z=70855837463 M=1863
A=2404 B=3503 C=5505 X=597071481 Y=5367686519 Z=28354326682 M=6082
A=9386 B=6498 C=8023 X=415821532 Y=7801263323 Z=13386849530 M=2767
A=6799 B=9699 C=7231 X=950113998 Y=4149613394 Z=27805259136 M=4392
A=8880 B=7859 C=8228 X=388309855 Y=9026479713 Z=59428625908 M=2121
A=3921 B=9003 C=9232 X=241341448 Y=5045708102 Z=22493816576 M=2477
A=4704 B=8007 C=7425 X=501747781 Y=7564247841 Z=84681360774 M=1379
A=3674 B=4253 C=7553 X=979610784 Y=6651364080 Z=95289236975 M=1660
A=9968 B=7183 C=7652 X=346596419 Y=9013599928 Z=97319304758 M=6511
A=9254 B=9401 C=6172 X=488706570 Y=1491176452 Z=56706661052 M=7158
A=4718 B=7865 C=7525 X=195430374 Y=3036145183 Z=19033550339 M=3444
A=7114 B=3656 C=5822 X=850353211 Y=6801170541 Z=37853545331 M=9997
A=6782 B=5896 C=8741 X=590795194 Y=5282892552 Z=35515494699 M=1694
A=6012 B=5658 C=8823 X=494060640 Y=6327365499 Z=27481289028 M=8126
A=8956 B=9332 C=7171 X=581823880 Y=1855830002 Z=92661885346 M=4366
A=6994 B=5388 C=9236 X=668393732 Y=9188786337 Z=88275218909 M=5127
A=8372 B=5170 C=5444 X=848167391 Y=5206339027 Z=90753673739 M=6567
A=5114 B=9509 C=6686 X=905754227 Y=9624715924 Z=19753800086 M=4370
A=9564 B=4796 C=5604 X=280193119 Y=3862883736 Z=73181284357 M=9041
A=5928 B=5709 C=9629 X=486567048 Y=4443676584 Z=45372181295 M=9866
A=9775 B=3630 C=9099 X=532880851 Y=5006107650 Z=66788277656 M=2426
A=9885 B=4314 C=9580 X=429962226 Y=3760949676 Z=77121083969 M=2719
A=9985 B=5205 C=9195 X=960627505 Y=4219368385 Z=75074116961 M=2818
A=9684 B=5364 C=9865 X=676192816 Y=9327715581 Z=74078536018 M=8051
A=4626 B=5938 C=8586 X=706622579 Y=1108236290 Z=96198940101 M=7634
A=7313 B=7071 C=5461 X=218900394 Y=2978346601 Z=17361422731 M=1955
A=9854 B=9712 C=7210 X=379346960 Y=1898561144 Z=61909634103 M=5834
A=8789 B=7141 C=7628 X=180650128 Y=8216225833 Z=45621559176 M=6471
A=7311 B=4179 C=9564 X=324887612 Y=1541640562 Z=14818409305 M=3943
A=9533 B=4167 C=9294 X=310931714 Y=3998512985 Z=72063680211 M=3266
A=9192 B=4359 C=7830 X=759744446 Y=4097409719 Z=65326898860 M=2613
A=7372 B=5840 C=7575 X=666841423 Y=6718735032 Z=98482316242 M=3255
A=7647 B=5165 C=5066 X=654199239 Y=9271905057 Z=31197919752 M=4218
A=2632 B=4179 C=7201 X=751070584 Y=1747481081 Z=84620914797 M=4025
A=7367 B=9222 C=8478 X=123435605 Y=3853436167 Z=43275249778 M=5073
A=7369 B=6834 C=9314 X=938520884 Y=9458771425 Z=90049670292 M=2739
A=9857 B=3851 C=6718 X=530693153 Y=3981378574 Z=13300367910 M=3198
A=9702 B=9076 C=9910 X=139517416 Y=6893158472 Z=66379060440 M=5700
A=7138 B=6442 C=6354 X=714818043 Y=1405727935 Z=90505979172 M=2463
A=2089 B=8949 C=6742 X=411429980 Y=4816663708 Z=66267664460 M=9305
A=7553 B=3707 C=5229 X=312655947 Y=8402979031 Z=55051309336 M=7838
A=3060 B=4533 C=5563 X=172551597 Y=1197585310 Z=90088963377 M=8322
A=8325 B=8562 C=5455 X=907390378 Y=6763851322 Z=35084119278 M=8458
A=8811 B=5994 C=6093 X=336037314 Y=3845009038 Z=49148357545 M=4306
A=6939 B=9821 C=5187 X=755920530 Y=7534719405 Z=81140539360 M=5602
A=2286 B=9184 C=9147 X=175313014 Y=2215208065 Z=93222998323 M=2595
A=5212 B=9778 C=9443 X=520841111 Y=3472372530 Z=64580068225 M=6611
A=2119 B=5065 C=5904 X=400789060 Y=6323092513 Z=74292099726 M=4468
A=9230 B=5468 C=7780 X=203579489 Y=6224005259 Z=61366846738 M=1526
A=4885 B=3297 C=5710 X=660305134 Y=4103865643 Z=93761727406 M=4464
A=2378 B=6485 C=5657 X=694370293 Y=9182937961 Z=25099012025 M=7838
A=8731 B=3572 C=5465 X=539792144 Y=3176891055 Z=43060350358 M=2408
A=9936 B=8549 C=6143 X=856776213 Y=5023522458 Z=51687982614 M=3579
A=8184 B=5707 C=6775 X=575750949 Y=4736698235 Z=74522895875 M=4415
A=2668 B=4458 C=9018 X=445141852 Y=2696738951 Z=80762885166 M=2324
A=4846 B=5223 C=8621 X=303925599 Y=5283467742 Z=74332276461 M=5218
