3798:rRrrRR GGgGGg bBbBbb
3329:rRRrRR GGggGg bBbbbB
7021:rRrrRr GGggGG BbbBbb
6731:rRrRrR GGggGg BbBbBb
4490:rrrrrR GgGggG bbBbbb
3525:rrrrrr GGGggg BBBbbB
6461:RrRRrR GGgGgG BbBBBb
4455:RRRRRr GgGGgg BBbBBB
2142:rrRRrr gGGGGg BBbbbB
6637:RrrRrR ggGgGG bBbBbB
4712:rrRRRr gGGGGg bBbbBb
2775:rrRrrr GgGggG BbbBBB
1887:RrrRrr gGGGGg bBbbbb
9827:RrRRRr gggggG BbbBBB
8884:RRRRRR GGGgGG BBbBbb
8843:rrRrrr GGggGg bbBbbb
9906:rrRRrr GGgGgg BbBBBb
9878:RrrrrR GGGGGG BBbBBB
2296:RRRRRR GGGGGG BBBBBB
9810:rrrrrr gggggg bbbbbb
