id=1, plug=YELLOW SQUARE, leftSocket=GREEN OCTAGON, rightSocket=WHITE SQUARE, data=---------------------
id=2, plug=WHITE CIRCLE, leftSocket=BLACK CIRCLE, rightSocket=YELLOW OCTAGON, data=-----3-3----2-2-----1
id=3, plug=BLACK SQUARE, leftSocket=WHITE TRIANGLE, rightSocket=RED CIRCLE, data=---------------------
id=4, plug=RED STAR, leftSocket=RED OCTAGON, rightSocket=MAGENTA PENTAGON, data=1--------------------
id=5, plug=WHITE SQUARE, leftSocket=CYAN OCTAGON, rightSocket=BLACK OCTAGON, data=---------------------
id=6, plug=CYAN STAR, leftSocket=GREEN CIRCLE, rightSocket=WHITE CIRCLE, data=---33-----22--------1
id=7, plug=WHITE STAR, leftSocket=BLACK HEXAGON, rightSocket=RED DIAMOND, data=1--33-----22---------
id=8, plug=MAGENTA STAR, leftSocket=CYAN STAR, rightSocket=BLUE SQUARE, data=---------------------
id=9, plug=BLACK STAR, leftSocket=GREEN DIAMOND, rightSocket=CYAN TRIANGLE, data=--------------------1
id=10, plug=GREEN TRIANGLE, leftSocket=RED CIRCLE, rightSocket=CYAN TRIANGLE, data=--------------------1
id=11, plug=GREEN OCTAGON, leftSocket=YELLOW STAR, rightSocket=GREEN STAR, data=1--------------------
id=12, plug=YELLOW PENTAGON, leftSocket=WHITE STAR, rightSocket=BLUE DIAMOND, data=---33-----22---------
id=13, plug=BLACK HEXAGON, leftSocket=GREEN OCTAGON, rightSocket=GREEN OCTAGON, data=------3-3----2-2----1
id=14, plug=RED CIRCLE, leftSocket=MAGENTA OCTAGON, rightSocket=RED SQUARE, data=-----3------2--------
id=15, plug=GREEN STAR, leftSocket=YELLOW SQUARE, rightSocket=CYAN TRIANGLE, data=--------------------1
id=16, plug=BLUE SQUARE, leftSocket=RED HEXAGON, rightSocket=WHITE STAR, data=------3-3----2-2-----
id=17, plug=GREEN CIRCLE, leftSocket=CYAN TRIANGLE, rightSocket=BLACK STAR, data=---------------------
id=18, plug=CYAN TRIANGLE, leftSocket=BLACK PENTAGON, rightSocket=WHITE SQUARE, data=1---3-3----2-2-------
id=19, plug=RED SQUARE, leftSocket=YELLOW SQUARE, rightSocket=RED DIAMOND, data=-----3-3----2-2-----1
id=20, plug=RED STAR, leftSocket=YELLOW CIRCLE, rightSocket=GREEN DIAMOND, data=---------------------
id=21, plug=WHITE PENTAGON, leftSocket=RED SQUARE, rightSocket=WHITE SQUARE, data=--------------------1
id=22, plug=CYAN SQUARE, leftSocket=BLACK DIAMOND, rightSocket=YELLOW CIRCLE, data=-----3------2--------
id=23, plug=WHITE DIAMOND, leftSocket=WHITE SQUARE, rightSocket=RED CIRCLE, data=---------------------
id=24, plug=YELLOW CIRCLE, leftSocket=RED PENTAGON, rightSocket=BLACK TRIANGLE, data=1------3------2------
id=25, plug=GREEN PENTAGON, leftSocket=BLACK STAR, rightSocket=MAGENTA DIAMOND, data=----3------2--------1
id=26, plug=RED STAR, leftSocket=WHITE OCTAGON, rightSocket=BLUE PENTAGON, data=1--------------------
id=27, plug=WHITE DIAMOND, leftSocket=WHITE SQUARE, rightSocket=RED CIRCLE, data=-------3-3----2-2----
id=28, plug=GREEN STAR, leftSocket=CYAN PENTAGON, rightSocket=RED STAR, data=1--------------------
id=29, plug=BLACK CIRCLE, leftSocket=RED CIRCLE, rightSocket=WHITE STAR, data=--------------------1
id=30, plug=WHITE PENTAGON, leftSocket=RED HEXAGON, rightSocket=RED HEXAGON, data=--------------------1
id=31, plug=GREEN DIAMOND, leftSocket=WHITE DIAMOND, rightSocket=WHITE OCTAGON, data=-----3------2-------1
id=32, plug=RED STAR, leftSocket=YELLOW DIAMOND, rightSocket=BLACK HEXAGON, data=1--------------------
id=33, plug=BLUE PENTAGON, leftSocket=YELLOW DIAMOND, rightSocket=RED PENTAGON, data=---------------------
id=34, plug=BLACK HEXAGON, leftSocket=GREEN TRIANGLE, rightSocket=WHITE OCTAGON, data=------3-3----2-2-----
id=35, plug=RED CIRCLE, leftSocket=CYAN HEXAGON, rightSocket=RED DIAMOND, data=--------------------1
id=36, plug=YELLOW STAR, leftSocket=RED SQUARE, rightSocket=YELLOW DIAMOND, data=---------------------
id=37, plug=BLACK OCTAGON, leftSocket=WHITE HEXAGON, rightSocket=BLUE STAR, data=--------------------1
id=38, plug=RED STAR, leftSocket=GREEN PENTAGON, rightSocket=BLACK DIAMOND, data=1------3------2------
id=39, plug=RED TRIANGLE, leftSocket=CYAN STAR, rightSocket=WHITE OCTAGON, data=---------3-3----2-2-1
id=40, plug=RED CIRCLE, leftSocket=GREEN STAR, rightSocket=GREEN TRIANGLE, data=1------3-3----2-2----
id=41, plug=GREEN OCTAGON, leftSocket=MAGENTA SQUARE, rightSocket=BLACK TRIANGLE, data=----3------2--------1
id=42, plug=BLACK HEXAGON, leftSocket=GREEN DIAMOND, rightSocket=MAGENTA SQUARE, data=--------------------1
