id=1, plug=YELLOW HEXAGON, leftSocket=BLACK CIRCLE, rightSocket=GREEN CIRCLE, data=---------------------
id=2, plug=GREEN TRIANGLE, leftSocket=RED OCTAGON, rightSocket=CYAN SQUARE, data=-------------------3-
id=3, plug=BLACK PENTAGON, leftSocket=CYAN STAR, rightSocket=YELLOW OCTAGON, data=---------------------
id=4, plug=CYAN CIRCLE, leftSocket=GREEN DIAMOND, rightSocket=YELLOW DIAMOND, data=---------------------
id=5, plug=CYAN TRIANGLE, leftSocket=MAGENTA PENTAGON, rightSocket=BLUE PENTAGON, data=-11111------33333----
id=6, plug=YELLOW TRIANGLE, leftSocket=YELLOW TRIANGLE, rightSocket=GREEN SQUARE, data=------1------3-------
id=7, plug=RED STAR, leftSocket=BLACK SQUARE, rightSocket=YELLOW DIAMOND, data=-------------------3-
id=8, plug=YELLOW CIRCLE, leftSocket=WHITE OCTAGON, rightSocket=BLUE HEXAGON, data=-----1------3--------
id=9, plug=BLUE PENTAGON, leftSocket=WHITE HEXAGON, rightSocket=BLACK PENTAGON, data=---------------------
id=10, plug=GREEN STAR, leftSocket=GREEN TRIANGLE, rightSocket=BLACK CIRCLE, data=------1------3-------
id=11, plug=BLACK TRIANGLE, leftSocket=CYAN DIAMOND, rightSocket=WHITE HEXAGON, data=-------1------3-----1
id=12, plug=WHITE PENTAGON, leftSocket=YELLOW SQUARE, rightSocket=WHITE PENTAGON, data=---------------------
id=13, plug=WHITE OCTAGON, leftSocket=RED SQUARE, rightSocket=BLACK CIRCLE, data=----1------3---------
id=14, plug=GREEN TRIANGLE, leftSocket=GREEN DIAMOND, rightSocket=YELLOW CIRCLE, data=------1------3-------
id=15, plug=GREEN HEXAGON, leftSocket=YELLOW PENTAGON, rightSocket=WHITE HEXAGON, data=---------------------
id=16, plug=WHITE PENTAGON, leftSocket=GREEN TRIANGLE, rightSocket=BLUE PENTAGON, data=----1------3---------
id=17, plug=WHITE STAR, leftSocket=WHITE STAR, rightSocket=BLUE PENTAGON, data=---1------3----------
id=18, plug=GREEN PENTAGON, leftSocket=WHITE HEXAGON, rightSocket=MAGENTA SQUARE, data=-----------------2---
id=19, plug=BLUE SQUARE, leftSocket=MAGENTA OCTAGON, rightSocket=YELLOW PENTAGON, data=---1------3--------1-
id=20, plug=BLACK STAR, leftSocket=BLACK DIAMOND, rightSocket=CYAN HEXAGON, data=---------------------
id=21, plug=YELLOW TRIANGLE, leftSocket=MAGENTA OCTAGON, rightSocket=GREEN HEXAGON, data=----1------3--------1
id=22, plug=YELLOW OCTAGON, leftSocket=BLACK HEXAGON, rightSocket=YELLOW PENTAGON, data=-1-1----3-3-----3---1
id=23, plug=CYAN PENTAGON, leftSocket=MAGENTA STAR, rightSocket=GREEN STAR, data=-----------------2---
id=24, plug=YELLOW OCTAGON, leftSocket=YELLOW HEXAGON, rightSocket=MAGENTA HEXAGON, data=---1------3--------1-
id=25, plug=BLACK PENTAGON, leftSocket=MAGENTA SQUARE, rightSocket=YELLOW PENTAGON, data=-1------3------------
id=26, plug=MAGENTA CIRCLE, leftSocket=CYAN DIAMOND, rightSocket=MAGENTA OCTAGON, data=----1------3---------
id=27, plug=YELLOW TRIANGLE, leftSocket=MAGENTA STAR, rightSocket=WHITE TRIANGLE, data=-1------3------------
id=28, plug=MAGENTA DIAMOND, leftSocket=CYAN STAR, rightSocket=BLACK DIAMOND, data=----1------3--------1
id=29, plug=GREEN CIRCLE, leftSocket=MAGENTA CIRCLE, rightSocket=GREEN SQUARE, data=---1------3-------2--
id=30, plug=MAGENTA HEXAGON, leftSocket=RED HEXAGON, rightSocket=MAGENTA SQUARE, data=-1------3------------
id=31, plug=MAGENTA OCTAGON, leftSocket=YELLOW OCTAGON, rightSocket=BLUE STAR, data=---1------3-------2--
id=32, plug=YELLOW HEXAGON, leftSocket=BLUE CIRCLE, rightSocket=YELLOW CIRCLE, data=----1------3---------
